# [MPU] Offsets Ac: 0.1466 0.0261 0.0442
# [DIST] Calibrando distancia base...
# [DIST] Distancia base: 11.19 cm
# millis,rms,freq_dom_hz,f2hz,f5hz,f10hz,f20hz,f35hz,distancia_cm,asentamiento_cm,temperatura_c,humedad_pct,vibrador
5703,0.143627,20.0,0.007007,0.008119,0.010903,0.053371,0.015593,11.086,-0.105,26.00,10.00,ON
7989,0.085629,33.0,0.001326,0.003039,0.001098,0.014059,0.005729,11.245,0.053,26.00,9.00,ON
9989,0.083359,34.0,0.002507,0.002053,0.007229,0.009061,0.010731,11.088,-0.103,26.00,8.67,ON
12023,0.085521,34.0,0.003184,0.004228,0.007599,0.010273,0.007912,11.140,-0.052,25.95,9.25,ON
14390,0.078940,33.0,0.002204,0.001867,0.003569,0.008346,0.005051,11.074,-0.117,25.94,9.40,OFF
16390,0.001245,7.0,0.000161,0.000127,0.000054,0.000100,0.000027,10.978,-0.214,25.92,9.40,OFF
18424,0.001310,12.0,0.000204,0.000148,0.000130,0.000130,0.000015,11.219,0.028,25.90,9.40,OFF
20789,0.086087,33.0,0.002055,0.005301,0.005847,0.006517,0.005535,10.981,-0.210,25.86,9.60,ON
22789,0.085257,34.0,0.003547,0.003636,0.004978,0.006330,0.013223,10.891,-0.300,25.86,9.20,ON
24822,0.083725,34.0,0.002838,0.004445,0.005576,0.009868,0.008232,10.881,-0.310,25.84,9.60,ON
27189,0.084861,33.0,0.002875,0.002219,0.005535,0.007599,0.007317,10.952,-0.240,25.82,9.60,ON
29189,0.093192,34.0,0.004066,0.006906,0.005587,0.015984,0.006410,11.241,0.050,25.80,10.00,OFF
31223,0.001240,2.0,0.000494,0.000085,0.000114,0.000116,0.000026,11.045,-0.147,25.80,10.20,OFF
33590,0.001271,10.0,0.000266,0.000097,0.000324,0.000017,0.000024,10.881,-0.310,25.78,10.20,ON
35590,0.083798,34.0,0.002474,0.003698,0.008909,0.006348,0.010967,10.874,-0.317,25.76,9.60,ON
37623,0.084174,34.0,0.005904,0.002216,0.008465,0.005389,0.009386,10.972,-0.219,25.76,9.80,ON
39989,0.086543,33.0,0.008483,0.002770,0.003315,0.007120,0.007359,11.233,0.041,25.74,10.00,ON
41989,0.083853,34.0,0.000232,0.003713,0.007092,0.009753,0.007437,10.938,-0.253,25.72,10.20,ON
44022,0.082868,33.0,0.004975,0.000909,0.001258,0.012044,0.006209,10.960,-0.231,25.74,10.80,OFF
46390,0.001355,2.0,0.000428,0.000157,0.000248,0.000099,0.000028,11.083,-0.109,25.76,11.00,OFF
48390,0.001270,6.0,0.000119,0.000313,0.000068,0.000117,0.000010,10.981,-0.210,25.76,10.80,OFF
50423,0.084578,33.0,0.005848,0.001545,0.007843,0.004434,0.012307,10.891,-0.300,25.78,10.80,ON
52789,0.085279,33.0,0.004772,0.004384,0.010532,0.004262,0.003269,10.878,-0.314,25.80,10.80,ON
